id,movie,year,imdb,metascore,votes,runtime,genres,storyPlot,director,actor1,actor2,actor3,actor4,actor1_as,actor2_as,actor3_as,actor4_as,actor1_pic,actor2_pic,actor3_pic,actor4_pic,director_link,actor1_link,actor2_link,actor3_link,actor4_link,links,small_posters
10,Armageddon Time,2022,7,74,162,115,Drama            ,A coming-of-age story about growing up in Queens in the 1980s.,James Gray,Jessica Chastain,Anne Hathaway,Anthony Hopkins,Jeremy Strong,as Maryanne Trump,as Esther Graff,as Aaron Graff,as Irving Graff,"https://m.media-amazon.com/images/M/MV5BMTU1MDM5NjczOF5BMl5BanBnXkFtZTcwOTY2MDE4OA@@._V1_UX214_CR0,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTRhNzQ3NGMtZmQ1Mi00ZTViLTk3OTgtOTk0YzE2YTgwMmFjXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_UY317_CR20,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTg5ODk1NTc5Ml5BMl5BanBnXkFtZTYwMjAwOTI4._V1_UY317_CR6,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BYjM4M2M5MjAtMTg1MC00MjczLWI5NmQtZTI0MjJiODMyYTZlXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY317_CR6,0,214,317_AL_.jpg",https://www.imdb.com/name/nm0336695/,https://www.imdb.com/name/nm1567113?ref_=tt_cl_t_1,https://www.imdb.com/name/nm0004266?ref_=tt_cl_t_2,https://www.imdb.com/name/nm0000164?ref_=tt_cl_t_3,https://www.imdb.com/name/nm0834989?ref_=tt_cl_t_4,https://imdb.com/title/tt10343028/,"https://m.media-amazon.com/images/M/MV5BYTNhMmFjMjktY2I1OS00MzZhLWJiMzktODViMjFiMjcyMDhkXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_UY209_CR179,0,140,209_AL_.jpg"
11,The Bad Guys,2022,6.9,64,21081,100,"Animation, Adventure, Comedy            ","Several reformed yet misunderstood criminal animals attempt to become good, with some disastrous results along the way.",Pierre Perifel,Sam Rockwell,Marc Maron,Awkwafina,Craig Robinson,as Wolf,as Snake,as Tarantula,as Shark,"https://m.media-amazon.com/images/M/MV5BMTc2NTM3MzE5NF5BMl5BanBnXkFtZTcwMjg4NDMwNA@@._V1_UY317_CR4,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTUwMjkxMTI5Ml5BMl5BanBnXkFtZTcwNTU0NDAwNA@@._V1_UX214_CR0,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTU0NTUwNjkyN15BMl5BanBnXkFtZTgwMjM0NzEzMTI@._V1_UY317_CR7,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTU4MjIyMTU2Nl5BMl5BanBnXkFtZTcwMzExODEyMw@@._V1_UY317_CR30,0,214,317_AL_.jpg",https://www.imdb.com/name/nm2010048/,https://www.imdb.com/name/nm0005377?ref_=tt_cl_t_1,https://www.imdb.com/name/nm0549505?ref_=tt_cl_t_2,https://www.imdb.com/name/nm5377144?ref_=tt_cl_t_3,https://www.imdb.com/name/nm0732497?ref_=tt_cl_t_4,https://imdb.com/title/tt8115900/,"https://m.media-amazon.com/images/M/MV5BMDhkYmU0MzctMWEzNy00ODg1LWI3ZjAtMGZlZjkzNWVmMzVjXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_UX140_CR0,0,140,209_AL_.jpg"
12,Jackass Forever,2022,6.9,74,37377,96,"Documentary, Action, Comedy            ","After 11 years, the Jackass crew is back for another crusade.",Jeff Tremaine,Johnny Knoxville,Steve-O,Chris Pontius,Dave England,as Self,as Self,as Self,as Self,"https://m.media-amazon.com/images/M/MV5BMTE5Mjk5OTMxMV5BMl5BanBnXkFtZTYwODMyNDE0._V1_UY317_CR8,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMjIyNTAzOTM2N15BMl5BanBnXkFtZTYwNjE5MDM4._V1_UY317_CR12,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMmNlZjhjODAtYmNjMy00NjRjLTk1YTYtYzIzOTMwZjM3M2YzXkEyXkFqcGdeQXVyODc2Njg3OTQ@._V1_UY317_CR30,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BOTIwNDQ2MDYyOV5BMl5BanBnXkFtZTcwNzYyMDkwOA@@._V1_UY317_CR10,0,214,317_AL_.jpg",https://www.imdb.com/name/nm0871860/,https://www.imdb.com/name/nm0424216?ref_=tt_cl_t_1,https://www.imdb.com/name/nm0828177?ref_=tt_cl_t_2,https://www.imdb.com/name/nm0690686?ref_=tt_cl_t_3,https://www.imdb.com/name/nm0257424?ref_=tt_cl_t_4,https://imdb.com/title/tt11466222/,"https://m.media-amazon.com/images/M/MV5BNTdmMDNmYmItOWFmNC00YzdkLWIyZWMtMGRlMTQyZDZmNDU0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
13,The Adam Project,2022,6.7,55,172726,106,"Action, Adventure, Comedy            ","After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future.",Shawn Levy,Ryan Reynolds,Walker Scobell,Mark Ruffalo,Jennifer Garner,as Big Adam,as Young Adam,as Louis Reed,as Ellie Reed,"https://m.media-amazon.com/images/M/MV5BODFmN2VmZmEtYTRjZi00ZjY1LTgxYjQtODMyNDI3ZDk4ZTJiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY317_CR0,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BYjVjYTQ4MDYtYzYxOC00NGYyLWE0YTAtM2Q2YjViYmI4ZTg5XkEyXkFqcGdeQXVyMTI0MDc3MjA0._V1_UY317_CR91,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNWIzZTI1ODUtZTUzMC00NTdiLWFlOTYtZTg4MGZkYmU4YzNlXkEyXkFqcGdeQXVyNTExOTk5Nzg@._V1_UX214_CR0,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNTA4MDgzMTc1Nl5BMl5BanBnXkFtZTcwNjQyMjIwNQ@@._V1_UY317_CR14,0,214,317_AL_.jpg",https://www.imdb.com/name/nm0506613/,https://www.imdb.com/name/nm0005351?ref_=tt_cl_t_1,https://www.imdb.com/name/nm11880640?ref_=tt_cl_t_2,https://www.imdb.com/name/nm0749263?ref_=tt_cl_t_3,https://www.imdb.com/name/nm0004950?ref_=tt_cl_t_4,https://imdb.com/title/tt2463208/,"https://m.media-amazon.com/images/M/MV5BOWM0YWMwMDQtMjE5NS00ZTIwLWE1NWEtODViMWZjMWI2OTU3XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY209_CR0,0,140,209_AL_.jpg"
14,Fresh,2022,6.7,67,40520,114,"Comedy, Horror, Thriller            ",The horrors of modern dating seen through one young woman's defiant battle to survive her new boyfriend's unusual appetites.,Mimi Cave,Daisy Edgar-Jones,Sebastian Stan,Jojo T. Gibbs,Andrea Bang,as Noa,as Steve,as Mollie,as Penny,"https://m.media-amazon.com/images/M/MV5BZWMzNTE4NTMtYWU0My00ZTQ5LWEyNmUtNjk4NmU0YjY3YmIzXkEyXkFqcGdeQXVyODU0OTkyNTk@._V1_UY317_CR20,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNTk2OGU4NzktODhhOC00Nzc2LWIyNzYtOWViMjljZGFiNTMxXkEyXkFqcGdeQXVyMTE1NTQwOTk@._V1_UY317_CR15,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BYmI2YjUzYjktM2RkMC00MjEyLWIxMjAtYjRmMWIyN2I4OTNiXkEyXkFqcGdeQXVyMTI2Nzk3NzI4._V1_UY317_CR14,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTcxNDU4MTM1Ml5BMl5BanBnXkFtZTgwNjg3MTU0MDI@._V1_UX214_CR0,0,214,317_AL_.jpg",https://www.imdb.com/name/nm6470216/,https://www.imdb.com/name/nm8402992?ref_=tt_cl_t_1,https://www.imdb.com/name/nm1659221?ref_=tt_cl_t_2,https://www.imdb.com/name/nm6851510?ref_=tt_cl_t_3,https://www.imdb.com/name/nm4490375?ref_=tt_cl_t_4,https://imdb.com/title/tt13403046/,"https://m.media-amazon.com/images/M/MV5BZTgxMGQ2ZDctYWY4Yy00YTI4LWIxMmYtOWViMGI5ZDIwMmFiXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_UX140_CR0,0,140,209_AL_.jpg"
15,Sonic the Hedgehog 2,2022,6.6,47,45252,122,"Action, Adventure, Comedy            ","When the manic Dr Robotnik returns to Earth with a new ally, Knuckles the Echidna, Sonic and his new friend Tails is all that stands in their way.",Jeff Fowler,James Marsden,Jim Carrey,Ben Schwartz,Tika Sumpter,as Tom Wachowski,as Dr. Robotnik,as Sonic,as Maddie Wachowski,"https://m.media-amazon.com/images/M/MV5BMTQyOTUzNjc0MF5BMl5BanBnXkFtZTcwNTYyMDYzMw@@._V1_UX214_CR0,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTQwMjAwNzI0M15BMl5BanBnXkFtZTcwOTY1MTMyOQ@@._V1_UY317_CR22,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BYzlkZDE3NjktNDNjOC00YWFjLTg3NTAtMWVmZDlmYmY2NGI3XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UX214_CR0,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BOGZjOWM0OTUtOWQ5ZS00ZWE4LTkwMjYtODg3OWJmYmIyNjI0XkEyXkFqcGdeQXVyMTA3NzU0NDg@._V1_UY317_CR20,0,214,317_AL_.jpg",https://www.imdb.com/name/nm1733778/,https://www.imdb.com/name/nm0005188?ref_=tt_cl_t_1,https://www.imdb.com/name/nm0000120?ref_=tt_cl_t_2,https://www.imdb.com/name/nm2355635?ref_=tt_cl_t_3,https://www.imdb.com/name/nm1754366?ref_=tt_cl_t_4,https://imdb.com/title/tt12412888/,"https://m.media-amazon.com/images/M/MV5BMGI1NjA1MjUtNGQxNC00NDYyLThjODgtZjFkZjQ4OGM0NDc5XkEyXkFqcGdeQXVyMTM0NTUzNDIy._V1_UX140_CR0,0,140,209_AL_.jpg"
16,Dog,2022,6.5,61,21890,101,"Comedy, Drama            ",Two former Army Rangers are paired against their will on the road trip of a lifetime. Briggs (Channing Tatum) and Lulu (a Belgian Malinois) race down the Pacific Coast to get to a fellow soldier's funeral on time.,Reid Carolin,Channing Tatum,Ryder McLaughlin,Aavi Haas,Luke Forbes,as Jackson Briggs,as Deli Teenager,as Deli Manager,as Ranger Jones,"https://m.media-amazon.com/images/M/MV5BMTUyOTc2NTEwNV5BMl5BanBnXkFtZTgwNDgxMjMxNjE@._V1_UY317_CR59,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMjM0NDE5MzAwOV5BMl5BanBnXkFtZTgwNzYwNjAzNjM@._V1_UX214_CR0,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNTY2ODcyMTItZDVjMi00OGRlLTgwZTMtZThjN2YwNGUxMDU0XkEyXkFqcGdeQXVyNjA3NDA3OTg@._V1_UX214_CR0,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BOGM1MjkzZTUtYmEwMC00ZWM0LWI5OTYtM2JjM2RiZDM5MTE1XkEyXkFqcGdeQXVyMjM1NTAyNTI@._V1_UY317_CR290,0,214,317_AL_.jpg",https://www.imdb.com/name/nm1730221/,https://www.imdb.com/name/nm1475594?ref_=tt_cl_t_1,https://www.imdb.com/name/nm9208180?ref_=tt_cl_t_2,https://www.imdb.com/name/nm3590810?ref_=tt_cl_t_3,https://www.imdb.com/name/nm4380467?ref_=tt_cl_t_4,https://imdb.com/title/tt11252248/,"https://m.media-amazon.com/images/M/MV5BYjA2MDM2YjctYzNhNC00NGEzLWFmYWEtODExODFkNmUyOGE2XkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_UY209_CR0,0,140,209_AL_.jpg"
17,Uncharted,2022,6.4,45,132074,116,"Action, Adventure            ","Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada.",Ruben Fleischer,Tom Holland,Mark Wahlberg,Antonio Banderas,Sophia Ali,as Nathan Drake,as Victor Sullivan,as Santiago Moncada,as Chloe Frazer,"https://m.media-amazon.com/images/M/MV5BNzZiNTEyNTItYjNhMS00YjI2LWIwMWQtZmYwYTRlNjMyZTJjXkEyXkFqcGdeQXVyMTExNzQzMDE0._V1_UX214_CR0,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTU0MTQ4OTMyMV5BMl5BanBnXkFtZTcwMTQxOTY1NA@@._V1_UY317_CR14,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTUyOTQ3NTYyNF5BMl5BanBnXkFtZTcwMTY2NjIzNQ@@._V1_UX214_CR0,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNzAyMGZhYTYtMDQ3MS00ZDc4LWE3NjctMzI4Y2JiYjlkNmY5XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY317_CR52,0,214,317_AL_.jpg",https://www.imdb.com/name/nm0281508/,https://www.imdb.com/name/nm4043618?ref_=tt_cl_t_1,https://www.imdb.com/name/nm0000242?ref_=tt_cl_t_2,https://www.imdb.com/name/nm0000104?ref_=tt_cl_t_3,https://www.imdb.com/name/nm1496115?ref_=tt_cl_t_4,https://imdb.com/title/tt1464335/,"https://m.media-amazon.com/images/M/MV5BMWEwNjhkYzYtNjgzYy00YTY2LThjYWYtYzViMGJkZTI4Y2MyXkEyXkFqcGdeQXVyNTM0OTY1OQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
18,Scream,2022,6.4,60,92979,114,"Horror, Mystery, Thriller            ","25 years after a streak of brutal murders shocked the quiet town of Woodsboro, Calif., a new killer dons the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town's deadly past.",Matt Bettinelli-Olpin,Neve Campbell,Courteney Cox,David Arquette,Melissa Barrera,as Sidney Prescott,as Gale Weathers,as Dewey Riley,as Sam Carpenter,"https://m.media-amazon.com/images/M/MV5BODc1MDdlZGQtMmYyNC00ZWRiLTlmYWMtNDNhYTU0YTI4YjlmXkEyXkFqcGdeQXVyMTIzMDcyMzA@._V1_UY317_CR17,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTA4OTczNDExNDNeQTJeQWpwZ15BbWU3MDUyNTIzMTM@._V1_UY317_CR7,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMjEzODYyNjg3NV5BMl5BanBnXkFtZTcwMzYwOTgyNg@@._V1_UY317_CR15,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNjg4OTgxMTctZDI0MC00ODY4LWEzNmItZjAwNjQ0NGQ1NDQxXkEyXkFqcGdeQXVyNzYyMTMyODk@._V1_UY317_CR2,0,214,317_AL_.jpg",https://www.imdb.com/name/nm2366012/,https://www.imdb.com/name/nm0000117?ref_=tt_cl_t_1,https://www.imdb.com/name/nm0001073?ref_=tt_cl_t_2,https://www.imdb.com/name/nm0000274?ref_=tt_cl_t_3,https://www.imdb.com/name/nm4574440?ref_=tt_cl_t_4,https://imdb.com/title/tt11245972/,"https://m.media-amazon.com/images/M/MV5BYjExYTcwYmYtMWY2Zi00MGJlLTk3YjUtZTU1Zjg4MDc0Y2FjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR0,0,140,209_AL_.jpg"
19,Men,2022,6.3,65,8993,100,"Drama, Horror, Sci-Fi            ",A young woman goes on a solo vacation to the English countryside following the death of her ex-husband.,Alex Garland,Jessie Buckley,Rory Kinnear,Paapa Essiedu,Gayle Rankin,as Harper,as Geoffrey,as James,as Riley,"https://m.media-amazon.com/images/M/MV5BNjlmMmQ2MzktMzY3Zi00ZWRiLThiOTAtNDMyYWY2YTBmYzU3XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX214_CR0,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTQwOTMwMDM5OV5BMl5BanBnXkFtZTcwODQ1MDExOA@@._V1_UY317_CR6,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BOTBjNzI1OTItY2YzYS00YTdmLTg5ODktODE1ZjlhMzk1MDc5XkEyXkFqcGdeQXVyMTc5MTI2MzA@._V1_UY317_CR33,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BZWZmYTVhMGYtODY2YS00ZTNhLWFmMzgtZjY3NGE1NzhmOGNlXkEyXkFqcGdeQXVyMzA0NDgyMDU@._V1_UX214_CR0,0,214,317_AL_.jpg",https://www.imdb.com/name/nm0307497/,https://www.imdb.com/name/nm2976580?ref_=tt_cl_t_1,https://www.imdb.com/name/nm1239499?ref_=tt_cl_t_2,https://www.imdb.com/name/nm5469396?ref_=tt_cl_t_3,https://www.imdb.com/name/nm4587360?ref_=tt_cl_t_4,https://imdb.com/title/tt13841850/,"https://m.media-amazon.com/images/M/MV5BZGQ2ZDNiMjgtMTNhNS00MjUxLWFkYTMtYTI1OTE0MmQ2MmJkXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_UY209_CR0,0,140,209_AL_.jpg"
20,Death on the Nile,2022,6.3,52,116773,127,"Crime, Drama, Mystery            ","While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress.",Kenneth Branagh,Tom Bateman,Annette Bening,Kenneth Branagh,Russell Brand,as Bouc,as Euphemia Bouc,as Hercule Poirot,as Windlesham,"https://m.media-amazon.com/images/M/MV5BOTQ5MmUwNzctNGQwNi00MTdiLThlMmItNWFlMzNlOTQyOTViXkEyXkFqcGdeQXVyMjI4MDI0NTM@._V1_UY317_CR14,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTc4ODQ1ODM5Ml5BMl5BanBnXkFtZTcwOTU2NDk3OQ@@._V1_UX214_CR0,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMjI0NTQ4Mjk5Ml5BMl5BanBnXkFtZTcwMDc1NjkzNw@@._V1_UY317_CR3,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTUxMzA2Nzk0N15BMl5BanBnXkFtZTcwMDgwMTEwNQ@@._V1_UY317_CR4,0,214,317_AL_.jpg",https://www.imdb.com/name/nm0000110/,https://www.imdb.com/name/nm5290643?ref_=tt_cl_t_1,https://www.imdb.com/name/nm0000906?ref_=tt_cl_t_2,https://www.imdb.com/name/nm0000110?ref_=tt_cl_t_3,https://www.imdb.com/name/nm1258970?ref_=tt_cl_t_4,https://imdb.com/title/tt7657566/,"https://m.media-amazon.com/images/M/MV5BNjI4ZTQ1OTYtNTI0Yi00M2EyLThiNjMtMzk1MmZlOWMyMDQwXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY209_CR0,0,140,209_AL_.jpg"
21,Fantastic Beasts: The Secrets of Dumbledore,2022,6.2,47,93077,142,"Action, Adventure, Fantasy            ",Albus Dumbledore assigns Newt and his allies with a mission related to the rising power of Grindelwald.,David Yates,Eddie Redmayne,Jude Law,Ezra Miller,Dan Fogler,as Newt Scamander,as Albus Dumbledore,as Credence Barebone,as Jacob Kowalski,"https://m.media-amazon.com/images/M/MV5BMTU0MjEyNzQyM15BMl5BanBnXkFtZTcwMTc4ODUxOQ@@._V1_UX214_CR0,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTMwOTg5NTQ3NV5BMl5BanBnXkFtZTcwNzM3MDAzNQ@@._V1_UY317_CR6,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BOTQ2YmNlZDEtM2EwNi00N2JhLTk3ZDktMjBmNzYwYWI1OWZmXkEyXkFqcGdeQXVyNjk1MjYyNTA@._V1_UX214_CR0,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BODcyOWZlNzEtZmRkMy00NTljLTg0NDctNmI4ZTJlMmVkOTZlXkEyXkFqcGdeQXVyMTE4NTMxNjI@._V1_UY317_CR65,0,214,317_AL_.jpg",https://www.imdb.com/name/nm0946734/,https://www.imdb.com/name/nm1519666?ref_=tt_cl_t_1,https://www.imdb.com/name/nm0000179?ref_=tt_cl_t_2,https://www.imdb.com/name/nm3009232?ref_=tt_cl_t_3,https://www.imdb.com/name/nm0283945?ref_=tt_cl_t_4,https://imdb.com/title/tt4123432/,"https://m.media-amazon.com/images/M/MV5BZGQ1NjQyNDMtNzFlZS00ZGIzLTliMWUtNGJkMGMzNTBjNDg0XkEyXkFqcGdeQXVyMTE1NDI5MDQx._V1_UY209_CR0,0,140,209_AL_.jpg"
22,The Lost City,2022,6.2,60,65501,112,"Action, Adventure, Comedy            ",A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.,Aaron Nee,Sandra Bullock,Channing Tatum,Daniel Radcliffe,Da'Vine Joy Randolph,as Loretta Sage,as Alan,as Abigail Fairfax,as Beth Hatten,"https://m.media-amazon.com/images/M/MV5BMTI5NDY5NjU3NF5BMl5BanBnXkFtZTcwMzQ0MTMyMw@@._V1_UY317_CR1,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTUyOTc2NTEwNV5BMl5BanBnXkFtZTgwNDgxMjMxNjE@._V1_UY317_CR59,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BZmE0NzNiNzQtYTVlYS00MjljLWE4MTgtYzYxNjU2NjZkM2M4XkEyXkFqcGdeQXVyNjY5NDgzNjQ@._V1_UX214_CR0,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTk0NTQ1ODcwNV5BMl5BanBnXkFtZTcwOTE0MjUyOQ@@._V1_UY317_CR1,0,214,317_AL_.jpg",https://www.imdb.com/name/nm1887480/,https://www.imdb.com/name/nm0000113?ref_=tt_cl_t_1,https://www.imdb.com/name/nm1475594?ref_=tt_cl_t_2,https://www.imdb.com/name/nm0705356?ref_=tt_cl_t_3,https://www.imdb.com/name/nm5007768?ref_=tt_cl_t_4,https://imdb.com/title/tt13320622/,"https://m.media-amazon.com/images/M/MV5BMmIwYzFhODAtY2I1YS00ZDdmLTkyYWQtZjI5NDIwMDc2MjEyXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UY209_CR0,0,140,209_AL_.jpg"
23,Ambulance,2022,6.1,55,46162,136,"Action, Crime, Drama            ",Two robbers steal an ambulance after their heist goes awry.,Michael Bay,Jake Gyllenhaal,Yahya Abdul-Mateen II,Eiza González,Garret Dillahunt,as Danny Sharp,as Will Sharp,as Cam Thompson,as Captain Monroe,"https://m.media-amazon.com/images/M/MV5BNjA0MTU2NDY3MF5BMl5BanBnXkFtZTgwNDU4ODkzMzE@._V1_UX214_CR0,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMzAzZmFmMjAtYTE1Yy00ZWViLWE2YWYtYjUzZWE3MDVlMWIwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY317_CR2,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTU4MjA5M2EtNmQ2OC00YjdhLWEyYWMtYzdiOTRkZWM3NGM2XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY317_CR174,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNGU2YjQ5MGQtMzAyYy00MGM0LWFhYmMtZmYxNjFiZjliYmNjXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY317_CR34,0,214,317_AL_.jpg",https://www.imdb.com/name/nm0000881/,https://www.imdb.com/name/nm0350453?ref_=tt_cl_t_1,https://www.imdb.com/name/nm5584344?ref_=tt_cl_t_2,https://www.imdb.com/name/nm2555462?ref_=tt_cl_t_3,https://www.imdb.com/name/nm0226813?ref_=tt_cl_t_4,https://imdb.com/title/tt4998632/,"https://m.media-amazon.com/images/M/MV5BYjUyN2VlZGEtNGEyZC00YjViLTgwYmQtZDJiM2FlOTU3Mjg2XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UX140_CR0,0,140,209_AL_.jpg"
24,All the Old Knives,2022,6.1,62,17338,101,"Mystery, Thriller            ","Two CIA agents and ex-lovers (Chris Pine and Thandiwe Newton) are brought back together years after a failed rescue attempt and forced to blur the lines between profession and passion in this deeply riveting tale of global espionage, moral dilemma and deadly betrayal.",Janus Metz,Goksin Erdemli,Kasia Madera,Chris Pine,Thandiwe Newton,as Turkish Airlines Stewardess,as News Reporter #1,as Henry Pelham,as Celia Harrison,"https://m.media-amazon.com/images/M/MV5BY2Y5Y2JmNTUtODY2My00NGI5LWEyNjgtYTJjZWIxNTI1YWY2XkEyXkFqcGdeQXVyNDEwOTcxOTA@._V1_UY317_CR15,0,214,317_AL_.jpg",,"https://m.media-amazon.com/images/M/MV5BMTM4OTQ4NTU3NV5BMl5BanBnXkFtZTcwNjEwNDU0OQ@@._V1_UX214_CR0,0,214,317_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNjMzNTAxNDUwNV5BMl5BanBnXkFtZTcwMjMyNjI5MQ@@._V1_UY317_CR15,0,214,317_AL_.jpg",https://www.imdb.com/name/nm2178458/,https://www.imdb.com/name/nm12588647?ref_=tt_cl_t_1,https://www.imdb.com/name/nm4371455?ref_=tt_cl_t_2,https://www.imdb.com/name/nm1517976?ref_=tt_cl_t_3,https://www.imdb.com/name/nm0628601?ref_=tt_cl_t_4,https://imdb.com/title/tt3706352/,"https://m.media-amazon.com/images/M/MV5BNTZhNDM0MGItYjIwYS00NTMzLWIxYmUtZjIwM2Q4NDhjY2EyXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_UY209_CR1,0,140,209_AL_.jpg"
